Precipitation,Global_Radiation,Avarage_Atmospheric_Pressure,Avarage_Temperature,Avarage_Dew_Temperature,Avarage_Relative_Humidity,Avarage_Wind_Speed
0.0,187.5,931.05,15.65,15.65,100.0,2.45
0.0,286.8,931.35,15.8,15.8,100.0,3.0
0.0,292.0,931.25,15.8,15.8,100.0,3.0
0.0,392.5,930.7,15.600000000000001,15.600000000000001,100.0,3.3
0.0,578.2,929.95,16.1,16.049999999999997,100.0,3.5
0.0,778.1,929.3,16.85,16.549999999999997,97.0,3.3
0.0,691.4,928.5999999999999,17.1,16.6,96.5,3.35
0.0,330.4,928.0999999999999,16.65,16.65,100.0,3.0999999999999996
0.0,194.6,927.9000000000001,16.4,16.4,100.0,2.35
0.0,48.9,927.85,16.15,16.15,100.0,2.3
0.0,3.5,923.1,16.299999999999997,16.299999999999997,100.0,6.15
0.4,73.5,923.65,15.100000000000001,14.7,97.0,8.4
0.0,356.9,924.6500000000001,14.0,13.0,93.0,7.35
0.0,731.0,924.85,14.7,12.35,87.0,8.3
0.0,1197.5,925.05,14.7,10.350000000000001,74.0,9.100000000000001
0.0,2224.4,924.45,15.8,8.0,59.5,10.25
0.0,2004.3,923.75,16.45,6.1,51.0,11.75
0.0,1940.0,923.05,16.85,3.9000000000000004,42.5,10.9
0.0,1855.4,922.45,17.15,2.4,36.5,13.25
0.0,1473.7,922.45,16.9,1.1,34.5,12.95
0.0,762.6,923.0,15.95,0.39999999999999997,34.0,12.15
0.0,55.9,924.05,14.55,1.9,42.5,11.95
0.2,5.5,929.85,10.4,10.4,100.0,4.35
0.0,221.4,930.5,11.05,11.0,99.5,3.8
0.0,766.3,931.3,12.1,11.2,94.5,5.55
0.0,608.0,932.25,12.35,11.55,94.5,5.95
0.0,1228.0,933.05,13.75,11.25,85.0,6.050000000000001
0.8,1329.4,933.3,13.05,12.75,96.5,5.5
0.6,1182.6,933.2,13.5,12.2,90.5,4.55
0.0,1891.4,932.9000000000001,14.0,11.350000000000001,86.0,5.699999999999999
0.0,1510.0,932.3,14.899999999999999,10.0,72.5,5.65
0.0,1049.8,932.05,14.899999999999999,10.75,75.5,6.550000000000001
0.0,356.9,932.35,13.8,12.0,88.5,4.95
0.6,54.1,932.65,12.95,12.600000000000001,96.5,4.95
0.0,12.9,934.5,11.7,11.7,100.0,2.85
0.0,457.3,935.0999999999999,12.5,12.25,97.0,3.4499999999999997
0.0,1158.9,935.65,13.95,11.55,87.0,3.7
0.0,1680.1,936.05,15.100000000000001,10.5,75.5,5.0
0.0,2565.2,936.0,16.549999999999997,9.9,64.5,4.5
0.0,2206.0,935.65,16.95,10.899999999999999,68.0,4.55
0.0,1349.4,934.95,16.65,11.85,74.0,5.15
0.0,1267.4,934.15,16.95,11.7,70.5,5.050000000000001
0.0,1929.6,933.55,17.2,12.05,71.5,6.300000000000001
0.0,1509.6,933.2,16.6,12.75,78.5,6.95
0.2,704.9,933.0,15.3,12.9,86.0,5.65
0.0,99.8,933.15,14.3,13.0,91.5,5.8
0.0,10.1,934.15,11.95,11.8,98.5,2.8000000000000003
0.0,243.3,934.8,12.35,11.55,95.0,3.65
0.0,961.6,935.45,13.55,11.45,87.0,4.05
0.0,1917.6,935.7,14.85,11.2,78.0,5.0
0.0,2387.0,935.45,16.6,10.95,68.5,3.4000000000000004
0.0,2681.1,935.05,18.4,10.1,59.0,3.6
0.0,2744.9,934.25,20.3,9.7,50.5,3.45
0.0,2555.9,933.1500000000001,22.2,8.85,43.5,3.2
0.0,2079.7,932.3,23.45,7.699999999999999,36.0,3.4499999999999997
0.0,1444.0,931.8,24.05,7.95,36.0,2.75
0.0,753.6,931.6,21.75,10.25,53.0,4.95
0.0,123.5,931.9000000000001,17.8,14.55,82.5,4.9
0.0,14.4,932.5,13.3,11.8,91.0,2.2
0.2,445.5,932.8,14.5,11.7,84.0,2.95
0.0,1211.6,933.2,16.700000000000003,11.65,72.0,3.25
0.0,1861.8,933.5,18.55,11.4,62.5,2.7
0.0,2337.9,933.2,20.45,11.35,56.5,3.0500000000000003
0.0,2627.4,932.6,22.4,10.05,46.0,3.15
0.0,2704.4,931.75,23.6,8.4,38.0,3.0500000000000003
0.0,2541.2,930.65,25.0,7.550000000000001,33.0,3.0
0.0,2109.3,929.55,25.65,6.6000000000000005,30.0,2.7
0.0,1441.9,928.95,25.7,8.6,36.5,2.8
0.0,698.2,928.75,22.9,14.2,59.5,4.1
0.0,121.8,928.75,20.200000000000003,16.200000000000003,78.0,2.8
0.0,15.5,928.45,14.9,9.35,70.0,2.8
0.0,453.1,929.05,15.7,9.3,66.0,3.25
0.0,1209.4,929.45,18.0,9.15,56.5,3.35
0.0,1859.3,929.85,20.25,8.55,48.5,3.9
0.0,2324.2,929.45,22.0,8.75,43.0,3.4
0.0,2593.5,928.55,24.05,8.3,37.0,3.85
0.0,2674.5,927.3,25.8,8.149999999999999,32.0,4.35
0.0,2523.3,926.1,27.15,7.05,28.5,5.449999999999999
0.0,2076.7,925.2,27.8,6.15,25.5,5.75
0.0,1459.4,924.45,27.95,6.15,24.5,4.949999999999999
0.0,735.5,924.0,27.15,5.9,26.0,4.7
0.0,117.8,923.9,25.1,6.300000000000001,30.5,3.75
0.0,37.1,925.7,18.0,6.0,45.5,3.85
0.0,516.8,926.2,18.55,6.4,44.5,4.3500000000000005
0.0,851.6,927.0,19.950000000000003,6.65,42.0,5.0
0.0,1308.4,927.65,21.65,7.0,38.5,3.7
0.0,1681.6,927.55,23.4,6.75,35.0,4.35
0.0,1827.8,926.9000000000001,25.15,7.3,32.5,4.2
0.0,1822.9,925.95,26.6,7.699999999999999,30.5,5.25
0.0,1526.0,925.0,28.0,6.55,26.0,6.7
0.0,1301.4,924.35,28.35,8.05,29.5,5.85
0.0,1025.8,923.95,28.1,7.449999999999999,27.5,4.7
0.0,476.5,924.6500000000001,23.95,10.5,44.0,6.5
0.0,75.9,925.3499999999999,20.15,12.5,61.5,5.9
0.0,28.3,926.8,14.75,14.8,100.0,1.5499999999999998
0.0,156.4,927.2,15.5,15.2,97.5,1.45
0.0,368.1,927.6,16.4,14.95,91.5,1.45
0.0,957.8,927.65,17.9,14.0,78.5,3.7
0.0,1072.7,927.85,19.450000000000003,13.25,68.0,2.35
0.0,1700.0,927.4000000000001,20.8,12.55,59.5,2.05
0.0,816.6,927.05,21.5,12.55,56.0,2.35
0.0,621.0,926.65,21.2,14.2,65.0,1.7000000000000002
0.0,524.8,926.4,20.9,14.9,70.0,3.15
0.0,407.2,926.35,20.35,16.0,76.0,4.25
0.2,158.7,926.3,19.4,15.5,78.5,4.55
0.0,19.0,926.45,18.5,15.399999999999999,82.5,4.65
0.0,2.9,922.7,18.25,12.4,68.5,2.3
0.0,168.8,922.95,18.0,12.95,73.0,2.4
0.0,802.4,923.25,20.75,10.5,54.5,6.0
0.0,907.8,923.7,23.75,9.2,40.5,6.85
0.0,450.1,924.0999999999999,23.25,9.15,41.0,5.800000000000001
0.0,766.0,924.05,24.35,9.25,39.0,4.6
0.0,762.2,923.5999999999999,25.950000000000003,9.399999999999999,35.5,5.95
0.0,459.3,923.0,26.05,7.15,30.0,7.050000000000001
0.0,925.2,922.9,26.85,7.15,29.5,7.9
0.0,603.3,923.5,25.1,9.2,37.5,7.0
0.0,187.4,924.55,22.799999999999997,10.95,48.0,5.9
0.0,20.8,925.65,22.0,11.100000000000001,50.0,6.45
